,season_idx,episode_idx,character,utterance
80,0,0,ROBB,There are no direwolves south of the Wall.
81,0,0,JON,Now there are five.
82,0,0,SCENE,[Jon picks up a pup and offers it to BRAN.]
83,0,0,JON,You want to hold it?
84,0,0,BRAN,Where will they go? Their mother’s dead.
85,0,0,CASSEL,They don’t belong down here.
86,0,0,NED,Better a quick death. They won’t last without their mother.
87,0,0,THEON,Right. Give it here.
88,0,0,BRAN,NO! ROBB (disgustedly to THEON): Put away your blade.
89,0,0,THEON,"I take orders from your father, not you."
90,0,0,BRAN,"Please, father!"
91,0,0,NED,"I’m sorry, Bran."
92,0,0,JON,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
93,0,0,SCENE,"[Everyone looks at NED, BRAN with great hope.]"
94,0,0,NED,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
95,0,0,SCENE,[BRAN cradles his pup as JON hands more pups to ROBB.] BRAN (to JON): What about you?
96,0,0,JON,I’m not a Stark. Get on.
97,0,0,SCENE,"[JON walks away, pauses, and hears another whimper.]"
98,0,0,ROBB,What is it?
99,0,0,SCENE,[JON pulls up a white wolf pup. ]
100,0,0,THEON,"The runt of the litter. That one’s yours, Snow."
101,0,0,SCENE,"[Scene shifts to bells ringing at Kings Landing. In front of the Iron Throne, surrounded by druidical looking celebrants, lies the body of JON ARRYN. Up in the balcony, CERSEI watches the scene below as JAIME approaches.]"
102,0,0,JAIME,"As your brother, I feel it’s my duty to warn you: You worry too much. It’s starting to show."
103,0,0,CERSEI,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
104,0,0,JAIME,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We’re Lannisters. Lannisters don’t act like fools."
105,0,0,CERSEI,What if Jon Arryn told someone?
106,0,0,JAIME,But who would he tell?
107,0,0,CERSEI,My husband.
108,0,0,JAIME,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn’t know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores. Or is it the other way around? And life will go on."
109,0,0,CERSEI,You should be the Hand of the king.
110,0,0,JAIME,"That’s an honor I can do without. Their days are too long, their lives are too short."
111,0,0,SCENE,[Scene shifts to a raven approaching Winterfell. CATELYN crosses a busy courtyard and finds NED in the godswood. ]
112,0,0,CATELYN,All these years and I still feel like an outsider when I come here.
113,0,0,NED,You have five northern children. You’re not an outsider.
114,0,0,CATELYN,I wonder if the old gods agree.
115,0,0,NED,It’s your gods with all the rules.
116,0,0,CATELYN,"I am so sorry, my love."
117,0,0,NED,Tell me.
118,0,0,CATELYN,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
119,0,0,NED,Your sister. The boy …
120,0,0,CATELYN,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
121,0,0,NED,"He’s coming this far North, there’s only one thing he’s after."
122,0,0,CATELYN,"You can always say no, Ned."
123,0,0,SCENE,[Scene shifts to the Winterfell great hall where a great banquet is being prepared.]
124,0,0,CATELYN,We need plenty of candles for Lord Tyrion’s chamber. I’m told he reads all night.
125,0,0,MAESTER LUWIN,I’m told he drinks all night.
126,0,0,CATELYN,How much could he possibly drink? A man of his … stature.
127,0,0,LUWIN,We’ve brought up eight barrels of ale from the cellar. Perhaps we’ll find out.
128,0,0,CATELYN,"In any case, candles."
129,0,0,SCENE,"[Scene shifts to Robb, Theon, and Jon getting barbered.]"
130,0,0,JON,Why’s your mother so dead-set on us getting pretty for the king?
131,0,0,THEON,"It’s for the queen, I bet. I hear she’s [sleek as a mink?]"
132,0,0,ROBB,I hear the prince is a right royal prick.
133,0,0,THEON,Think of all those southern girls he gets to stab with his right royal prick.
134,0,0,ROBB,"Go on, Tommy, shave him good. He’s never met a girl he likes better than his own hair."
135,0,0,SCENE,"[Scene shifts to the royal procession approaching Winterfell. Bran sees them from his perch high atop a castle wall and clambers nimbly down to tell everyone. CATELYN and LUWIN walk to the courtyard, passing BRAN’s wolf pup.]"
136,0,0,CATELYN,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!"
137,0,0,BRAN,I saw the king! He’s got hundreds of people!
138,0,0,CATELYN,How many times have I told you: No climbing!
139,0,0,BRAN,But he’s coming right now! Down our road!
140,0,0,CATELYN,I want you to promise me: No more climbing. BRAN (looking down): I promise.
141,0,0,CATELYN,D’you know what?
142,0,0,BRAN,What?
143,0,0,CATELYN,You always look at your feet before you lie. Run and find your father. Tell him the king is close.
144,0,0,SCENE,"[BRAN runs off, followed by his wolf pup.]"
145,0,0,SCENE,"[Scene shifts to grand entry of the king’s horses and men. ARYA, wearing a helm and cloak, pushes her way into a tall wagon for a better look. In rides JOFFREY, followed by the HOUND . The other Starks wait in a greeting line.]"
146,0,0,CATELYN,"Where’s Arya? Sansa, where’s your sister?"
147,0,0,SCENE,[More riders with banners. ARYA scoots past her parents to get in the receiving line.]
148,0,0,NED,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA’s helm] ARYA (pushing BRAN): Move!"
149,0,0,SCENE,"[JOFFREY rides up, SANSA smiles at him, ROBB glares at JOFFREY. The HOUND pulls up his helm. The coach carrying CERSEI lumbers in, followed by KING ROBERT. All kneel. ROBERT heaves himself off his horse. NED looks shocked at the sight of his old friend, now fat and red-faced. ROBERT signals for all to rise and looks at NED.]"
150,0,0,NED,Your Grace.
151,0,0,ROBERT,You’ve got fat.
152,0,0,SCENE,[NED gives ROBERT a “What about you?” look. They start laughing.]
153,0,0,ROBERT,Cat!
154,0,0,CATELYN,Your Grace.
155,0,0,ROBERT,Nine years. Why haven’t I seen you? Where the hell have you been?
156,0,0,NED,"Guarding the North for you, Your Grace. Winterfell is yours."
157,0,0,SCENE,[CERSEI and her other children descend from the coach.]
158,0,0,ARYA,Where’s the Imp?
159,0,0,SANSA,Will you shut up?
160,0,0,ROBERT,"Who have we here? You must be Robb. (To Sansa) My, you’re a pretty one. (To Arya) Your name is?"
161,0,0,ARYA,Arya. ROBERT (to BRAN) Ooh. Show us your muscles. You’ll be a soldier.
162,0,0,SCENE,[JAIME removes his helm.]
163,0,0,ARYA,That’s Jaime Lannister. The queen’s twin brother.
164,0,0,SANSA,Would you please shut up.
165,0,0,SCENE,[CERSEI approaches.]
166,0,0,NED,My queen.
167,0,0,CATELYN,My queen.
168,0,0,ROBERT,Take me to your crypt. I want to pay my respects.
169,0,0,CERSEI,"We’ve been riding for a month, my love. Surely the dead can wait."
170,0,0,ROBERT,Ned.
171,0,0,ARYA,Where’s the Imp?
172,0,0,SCENE,"[CERSEI, humiliated in front of all, walks back to JAIME.]"
173,0,0,CERSEI,Where is our brother? Go find the little beast.
174,0,0,SCENE,[Scene changes to the crypt.]
175,0,0,NED,Tell me about Jon Arryn.
176,0,0,ROBERT,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man."
177,0,0,NED,We both did.
178,0,0,ROBERT,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
179,0,0,NED,Aye.
180,0,0,ROBERT,"Don’t look at me like that. Not his fault I didn’t listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you’re no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
181,0,0,SCENE,[NED kneels.]
182,0,0,NED,I’m not worthy of the honor.
183,0,0,ROBERT,"I’m not trying to honor you. I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it’s not too late. I have a son, you have a daughter. We’ll join our Houses."
184,0,0,SCENE,"[Scene changes to JAIME in the Winterfell settlement. We see Tyrion inside a whorehouse, swilling liquor and laughing as a woman pops into view after servicing him.]"
185,0,0,TYRION,Mmh. It is true what they say about the Northern girls.
186,0,0,ROS,Did you hear the king’s in Winterfell?
187,0,0,TYRION,I did hear something about that.
188,0,0,ROS,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.
189,0,0,TYRION,And the other brother?
190,0,0,ROS,The queen has two brothers?
191,0,0,TYRION,There’s the pretty one. And there’s the clever one.
192,0,0,ROS,I hear they call him the Imp.
193,0,0,TYRION,I hear he hates that nickname.
194,0,0,ROS,Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions.
195,0,0,TYRION,Clever girl.
196,0,0,ROS,"We’ve been expecting you, Lord Tyrion."
197,0,0,TYRION,Have you?
198,0,0,TYRION,The gods gave me one blessing.
199,0,0,SCENE,[She climbs on TYRION. JAIME walks in without knocking.]
200,0,0,JAIME,Don’t get up.
201,0,0,ROS,M’lord.
202,0,0,TYRION,"Should I explain to you the meaning of a closed door in a whorehouse, brother?"
203,0,0,JAIME,"You’ve much to teach me, no doubt. But our sister craves your attention."
204,0,0,TYRION,"She has odd cravings, our sister."
205,0,0,JAIME,"A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people."
206,0,0,TYRION,"I’m sorry, I’ve begun the feast a bit early. And this is the first of many courses."
207,0,0,JAIME,"I thought you might say that. But since we’re short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown."
208,0,0,SCENE,[JAIME leaves.]
209,0,0,TYRION,"Close the door! Scene changes to the Winterfell crypt, at Lyanna’s tomb. [Robert places a feather in the hand of her statue.]"
210,0,0,ROBERT,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
211,0,0,NED,She was my sister. This is where she belongs.
212,0,0,ROBERT,She belonged with me.
213,0,0,SCENE,[He touches Lyanna’s face.]
214,0,0,ROBERT,"In my dreams, I kill him every night."
215,0,0,NED,"It’s done, Your Grace. The Targaryens are gone."
216,0,0,ROBERT,Not all of them.
217,0,0,SCENE,"[Scene shifts to Daenerys on a balcony in Pentos, across the Narrow Sea.] VISERYS (off camera): Daenerys!"
218,0,0,SCENE,[He enters a large chamber.]
219,0,0,VISERYS,Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?
220,0,0,DAENERYS,We’ve been his guests for over a year and he’s never asked us for anything.
221,0,0,VISERYS,"Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?"
222,0,0,DAENERYS,No.
223,0,0,SCENE,[VISERYS nods and starts to leave the chamber. He turns.]
224,0,0,VISERYS,"When they write the history of my reign, sweet sister, they will say it began today."
225,0,0,SCENE,[Daenerys turns and steps into a steaming hot bath with a despairing look on her face.]
226,0,0,MAID,"It’s too hot, my lady."
227,0,0,SCENE,"[ But DAENERYS keeps stepping deeper. The scene shifts to ILLYRIOS, DAENERYS, AND VISERYS outside the mansion, awaiting Khal Drogo.]"
228,0,0,VISERYS,Where is he?
229,0,0,ILLYRIO,The Dothraki are not known for their punctuality.
230,0,0,SCENE,[A host of Dothraki come riding up. Khal Drogo wheels his stallion into the front.]
231,0,0,ILLYRIO,"(Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen. VISERYS (to DAENERYS) Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He’s a savage, of course, but he’s one of the finest killers alive. And you will be his queen."
232,0,0,ILLYRIO,"Come forward, my dear."
233,0,0,SCENE,"[KHAL DROGO watches as DAENERYS walks toward him. She does not hesitate and looks straight at him, although there is fear on her face. KHAL DROGO gazes at her and then leads his horsemen on a charge away.]"
234,0,0,VISERYS,Where’s he going?
235,0,0,ILLYRIO,The ceremony is over.
236,0,0,VISERYS,But he didn’t say anything. Did he like her?
237,0,0,ILLYRIO,"Trust me, Your Grace. If he didn’t like her, we’d know."
238,0,0,SCENE,"[The scene shifts to ILLYRIO, VISERYS, AND DAENERYS ON A GARDEN BALCONY OVERLOOKING THE SEA.]"
239,0,0,ILLYRIO,It won’t be long now. Soon you will cross the Narrow Sea and take back your father’s throne. The people drink secret toasts to your health. They cry out for their true king.
240,0,0,VISERYS,When will they be married?
241,0,0,ILLYRIO,Soon. The Dothraki never stay still for long.
242,0,0,VISERYS,Is it true they lie with their horses?
243,0,0,ILLYRIO,I wouldn’t ask Khal Drogo.
244,0,0,VISERYS,Do you take me for a fool?
245,0,0,ILLYRIO,I take you for a king. Kings lack the caution of common men. My apologies if I’ve given offense.
246,0,0,VISERYS,I know how to play a man like Drogo. I give him a queen and he gives me an army. DAENERYS (pleadingly) I don’t want to be his queen. I want to go home.
247,0,0,VISERYS,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?"
248,0,0,DAENERYS,I don’t know.
249,0,0,VISERYS,"We go home with an army. With Khal Drogo’s army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that’s what it took."
250,0,0,SCENE,"[He gives DAENERYS a brotherly kiss on the forehead and walks away. The scene shifts to a bedroom in Winterfell, where CATELYN is fixing SANSA’S hair.]"
251,0,0,SANSA,Do you think Joffrey will like me? What if he thinks I’m ugly?
252,0,0,CATELYN,Then he is the stupidest prince that ever lived.
253,0,0,SANSA,He’s so handsome.
254,0,0,SCENE,[CATELYN rolls her eyes.]
255,0,0,SANSA,When would we be married? Soon or do we have to wait?
256,0,0,CATELYN,Hush now. Your father hasn’t even said yes.
257,0,0,SANSA,Why would he say no? He’d be the second most powerful man in the kingdoms.
258,0,0,CATELYN,He’d have to leave home. He’d have to leave me. And so would you.
259,0,0,SANSA,You left your home to come here. And I’d be queen someday. Please make father say yes.
260,0,0,CATELYN,Sansa…
261,0,0,SANSA,"Please, please. It’s the only thing I ever wanted."
262,0,0,SCENE,"[Scene shifts to the Winterfell banquet. Laughter, music, KING ROBERT getting bawdy with a wench. CATELYN and CERSEI watch, CATELYN embarrassed for CERSEI, who looks disgusted. Out in the courtyard, JON takes out his frustration on a fencing dummy. His uncle BENJEN rides up.]"
263,0,0,BENJEN,Is he dead yet?
264,0,0,JON,Uncle Benjen!
265,0,0,SCENE,[They hug.]
266,0,0,BENJEN,You got bigger. I rode all day. Didn’t want to leave you alone with the Lannisters. Why aren’t you at the feast?
267,0,0,JON,Lady Stark thought it might insult the royal family to seat a bastard in their midst.
268,0,0,BENJEN,"Well, you’re always welcome on the wall. No bastard was ever refused a seat there."
269,0,0,JON,So take me with you when you go back.
